sim_time,node,is_attacker,f1_pkt_rate,f2_mean_rate,f3_burst_ratio,f4_rate_change,f5_rate_trend,f6_flow_duration,f7_activity_ratio,f8_cell_zscore,f9_consecutive,f10_peak_rate
19.0,ue[1],0,0.015,0.0107,0.070093,0.008,0.4995,0.06,1.0,0.136067,0.666667,0.017
19.0,ue[2],0,0.015,0.0125,0.06,0.003,0.498917,0.06,1.0,0.136067,0.666667,0.018
19.0,ue[3],0,0.01,0.0099,0.050505,0.0,0.499833,0.06,1.0,0.0,0.666667,0.015
19.0,ue[4],0,0.007,0.0103,0.033981,0.005,0.498417,0.06,1.0,0.0,0.666667,0.019
19.0,attacker[0],1,0.018,0.0182,0.049451,0.001,0.500583,0.06,0.95,0.31749,0.633333,0.023
19.0,attacker[1],1,0.013,0.0156,0.041667,0.002,0.4985,0.06,0.95,0.015119,0.633333,0.029
19.0,attacker[2],1,0.014,0.0148,0.047297,0.001,0.49875,0.06,0.95,0.075593,0.633333,0.021
20.0,ue[0],0,0.004,0.0091,0.021978,0.006,0.497833,0.063333,1.0,0.0,0.7,0.018
20.0,ue[1],0,0.013,0.0109,0.059633,0.002,0.502,0.063333,1.0,0.050489,0.7,0.017
20.0,ue[2],0,0.01,0.0126,0.039683,0.005,0.49925,0.063333,1.0,0.0,0.7,0.018
20.0,ue[3],0,0.01,0.0099,0.050505,0.0,0.500667,0.063333,1.0,0.0,0.7,0.015
20.0,ue[4],0,0.012,0.0106,0.056604,0.005,0.498917,0.063333,1.0,0.00561,0.7,0.019
20.0,attacker[0],1,0.014,0.0173,0.040462,0.004,0.4995,0.063333,0.952381,0.095369,0.666667,0.023
20.0,attacker[1],1,0.021,0.0161,0.065217,0.008,0.501667,0.063333,0.952381,0.409525,0.666667,0.029
20.0,attacker[2],1,0.011,0.0143,0.038462,0.003,0.498583,0.063333,0.952381,0.0,0.666667,0.021
21.0,ue[0],0,0.007,0.0088,0.039773,0.003,0.496583,0.066667,1.0,0.0,0.733333,0.018
